Q1_res,Q1_cat,user_id,Total (MB),Downlink (Kbps),Uplink (Kbps),Downlink TCP Rate(%),Video Download (Kbps),Video Delay (ms),Web Download (Kbps),Web TCP RTT(ms),Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_all,outliers,LogisticRegression,RandomForest,GaussianNB,KNeighborsClassifier,AdaBoostClassifier,threshold,Q1_new,new_cls,STD Downlink (Kbps),STD Uplink (Kbps),STD Downlink TCP Rate(%),STD Video Download (Kbps),STD Video Delay (ms),STD Web Download (Kbps),STD Web TCP RTT(ms)
6,0,1822,244.2916,1902.36,38.86,0.51,7372.48,1850,1033.4,103,1,0,0,0,1,0,0,2,0,False,False,False,False,False,0.5,0,0,0.15031485675092024,0.0339473220486561,0.04070305272895467,0.26622928750385483,0.16919018123422802,0.09196478391301524,0.06269020085209982
8,0,3071,741.69656,498.88,73.8,0.76,1201.63,3633,679.58,251,0,0,1,0,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.038640569972675815,0.07016470929690172,0.06382978723404255,0.043392331853495315,0.3737095664143152,0.06047748001897319,0.15276932440657334
5,0,1978,105.88971000000001,321.03,337.4,2.74,1041.37,1690,1315.57,83,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.024489123636774506,0.34340178080913825,0.2469935245143386,0.03760514686074283,0.15083734801559992,0.11707577972948079,0.0505173463177115
4,0,1493,643.5341900000001,196.01,105.77,9.98,371.22,7366,180.85,770,0,0,0,0,0,0,0,0,0,False,False,False,False,True,0.5,0,0,0.014541337182378208,0.10330351497310128,0.9167437557816835,0.013405209116495537,0.8019041064464326,0.01609428214696033,0.46865489957395007
1,0,1836,806.81823,3100.75,191.58,1.05,11161.85,1419,957.51,66,0,0,0,0,0,0,0,0,0,False,True,False,False,False,0.5,0,0,0.24567022236509378,0.19225068153783959,0.09065679925994449,0.403068081937815,0.11975223675154852,0.0852111479045396,0.04017041996348144
1,0,411,591.11877,1128.05,139.88,0.42,7700.46,1020,3659.81,90,0,0,1,1,1,0,0,3,0,False,False,True,False,False,0.5,0,0,0.08870335035591465,0.13866055787629697,0.03237742830712303,0.2780730472313162,0.07398485891259463,0.3256954091471766,0.054777845404747415
3,0,1060,359.88912999999997,686.35,84.79,2.81,2875.13,3663,403.5,198,0,0,0,1,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.05355747548063994,0.08155649767292404,0.2534690101757632,0.10382446766636984,0.37715072264280797,0.0359084481409925,0.12051125989044431
8,0,207,342.73753,7238.46,279.59,0.77,9196.58,952,2649.02,700,0,0,1,0,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.5749059885642628,0.2834782788966861,0.06475485661424606,0.33209977387150613,0.06618490479467767,0.23574274422416838,0.426049908703591
1,0,1483,551.96028,2502.97,374.01,1.31,8235.24,1375,2327.67,154,1,0,1,0,0,0,0,2,0,False,False,True,False,False,0.5,0,0,0.19810513048612224,0.3813502223420024,0.11470860314523589,0.2973846083845932,0.11470520761642579,0.20714502474434698,0.09373097991479001
4,0,799,116.7708,236.3,237.14,0.67,1246.69,2168,1394.18,152,0,1,0,0,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.017747194775144384,0.23947633016491657,0.05550416281221092,0.04501950367287274,0.20566643725625144,0.12407147516532571,0.09251369446135119
1,0,632,854.66262,349.62,44.14,2.26,932.71,2487,747.91,338,1,0,1,0,0,0,0,2,0,False,False,False,False,False,0.5,0,0,0.026764017371626453,0.03942035595451577,0.20259019426456984,0.03368130110189793,0.24225739848589126,0.06655833320726072,0.2057212416311625
7,0,2835,734.2312099999999,3294.18,366.39,0.85,6247.96,1175,2171.31,67,1,0,1,0,0,0,0,2,0,False,True,True,False,False,0.5,0,0,0.2610613624536706,0.37345163931877307,0.07215541165587419,0.22562149224583655,0.09176416609314063,0.19323016736807538,0.04077906269020085
5,0,1965,317.74152999999995,363.92,89.63,2.21,1394.28,1705,650.69,338,1,0,0,1,1,0,0,3,0,False,False,False,False,False,0.5,0,0,0.027901862086854953,0.08657344541996205,0.19796484736355227,0.050349159439004885,0.15255792612984628,0.05790648852754005,0.2057212416311625
2,0,2244,347.64619,560.61,104.43,3.65,1724.14,2707,941.51,206,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.04355239894267968,0.10191452530759902,0.33117483811285847,0.0622608082703373,0.2674925441615049,0.0837872689200145,0.12538040170419965
3,0,1140,276.4748,521.11,119.24,1.4,1612.04,2645,932.66,679,1,0,0,0,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.04040940130271285,0.11726597078975463,0.12303422756706751,0.058212739895898556,0.2603808212892865,0.08299968585669903,0.4132684114424833
1,0,826,744.21897,1324.47,74.54,1.07,7351.95,1510,55.25,133,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.1043324034304029,0.07093176329128358,0.09250693802035152,0.2654879240450928,0.13019041064464326,0.004916832118438254,0.08094948265368229
8,0,247,207.27389,7233.92,261.12,5.26,21961.97,3946,2350.1,163,1,0,0,0,0,0,0,1,0,False,False,True,False,False,0.5,0,0,0.5745447427595679,0.26433302582069595,0.48011100832562437,0.7930736502887815,0.40961229639825647,0.2091411250957781,0.09920876445526476
1,0,1196,547.43197,586.68,158.82,1.21,1288.17,3203,674.58,396,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.04562677738505779,0.1582929938946648,0.10545790934320072,0.04651739730509147,0.32438632713925214,0.0600325178363091,0.24102251978088862
3,0,822,800.08137,904.53,147.34,0.83,4895.42,2020,3230.13,82,0,0,0,1,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.07091796219172763,0.1463932913872275,0.07030527289546716,0.17677961535767084,0.18869006652902043,0.2874571390177549,0.04990870359099209
1,0,749,770.99306,5637.05,49.57,0.33,13666.58,1075,3265.73,153,1,0,0,0,0,0,0,1,0,False,False,True,True,False,0.5,0,0,0.4474824986751669,0.04504887377815554,0.024051803885291396,0.4935169516925692,0.08029364533149805,0.29062526975832326,0.0931223371880706
